int_rate,dti_log,annual_inc,revol_util,installment,revol_bal,loan_amnt,total_acc,debt_settlement_flag_Y,open_acc,fico_range_low,fico_range_high,mort_acc,inq_last_6mths,term_ 60 months,delinq_2yrs
8.9,2.5087859235779435,45000.0,63.4,202.43,8501.0,6375.0,10.0,False,4.0,740.0,744.0,1.0,0.0,False,0.0
13.98,2.367436065313662,63500.0,32.0,533.02,3363.0,15600.0,4.0,False,3.0,755.0,759.0,0.0,3.0,False,0.0
23.1,2.91180703861623,42456.0,56.2,155.05,6127.0,4000.0,37.0,False,10.0,665.0,669.0,0.0,0.0,False,0.0
16.78,2.3758355547336385,78000.0,57.6,355.44,8181.0,10000.0,28.0,False,14.0,680.0,684.0,2.0,3.0,False,0.0
16.29,2.596000697293587,42000.0,86.6,342.62,9526.0,14000.0,29.0,False,10.0,660.0,664.0,2.0,0.0,True,0.0
8.9,2.1258479144939915,55000.0,14.4,242.31,1752.0,11700.0,19.0,False,5.0,800.0,804.0,3.0,0.0,True,0.0
8.18,2.865053949911875,85000.0,53.2,942.59,34060.0,30000.0,17.0,False,10.0,765.0,769.0,2.0,1.0,False,0.0
18.55,2.0255131996542803,100000.0,68.1,868.83,8447.0,23850.0,10.0,False,8.0,695.0,699.0,0.0,2.0,False,2.0
12.69,2.505525936990736,72500.0,73.2,603.81,7320.0,18000.0,21.0,False,7.0,685.0,689.0,2.0,1.0,False,0.0
19.48,3.641787846580086,75500.0,61.0,360.33,39935.0,13750.0,39.0,True,22.0,675.0,679.0,6.0,1.0,True,0.0
14.09,2.0541237336955462,315000.0,4.7,489.62,4645.0,21000.0,40.0,False,15.0,765.0,769.0,5.0,3.0,True,2.0
16.59,2.8622008809294686,58000.0,75.0,544.39,17403.0,22100.0,13.0,False,7.0,685.0,689.0,0.0,2.0,True,0.0
10.99,3.3655702040190043,100000.0,89.0,982.02,50835.0,30000.0,26.0,False,9.0,710.0,714.0,1.0,0.0,False,0.0
19.52,2.004179057179289,110000.0,28.0,796.67,5185.0,30375.0,20.0,False,12.0,700.0,704.0,0.0,0.0,True,0.0
14.98,2.3561258599220753,65000.0,86.9,415.87,3475.0,12000.0,13.0,False,10.0,670.0,674.0,0.0,0.0,False,0.0
5.32,2.4865719291070616,65000.0,27.7,301.15,13196.0,10000.0,26.0,False,9.0,725.0,729.0,4.0,0.0,False,0.0
17.86,3.422958873443668,35000.0,77.8,530.41,17818.0,14700.0,16.0,False,10.0,660.0,664.0,0.0,0.0,False,0.0
8.9,3.1801349965517702,105000.0,51.3,571.56,19457.0,18000.0,36.0,False,17.0,730.0,734.0,5.0,1.0,False,0.0
8.9,2.6468837658647226,20800.0,30.9,190.52,5655.0,6000.0,13.0,False,8.0,770.0,774.0,0.0,1.0,False,0.0
20.2,2.7324175575505043,125000.0,83.2,931.19,34355.0,35000.0,30.0,True,7.0,685.0,689.0,4.0,0.0,True,0.0
16.2,2.9036169846461855,50000.0,80.3,390.8,13337.0,16000.0,32.0,False,6.0,675.0,679.0,2.0,1.0,True,0.0
13.35,2.191653532286764,40000.0,36.8,298.0,6101.0,8800.0,6.0,False,6.0,660.0,664.0,0.0,0.0,False,0.0
20.2,3.2160718975354663,90000.0,65.0,425.69,24482.0,16000.0,46.0,False,21.0,675.0,679.0,6.0,1.0,True,1.0
19.99,1.6524974018945473,45000.0,61.0,572.15,7559.0,21600.0,30.0,False,10.0,705.0,709.0,4.0,3.0,True,0.0
12.69,3.321793358874887,135000.0,76.5,361.52,42480.0,16000.0,33.0,True,19.0,660.0,664.0,2.0,1.0,True,0.0
14.49,1.4770487243883548,124600.0,62.8,137.67,11929.0,4000.0,27.0,False,6.0,665.0,669.0,4.0,2.0,False,1.0
15.31,2.7107133185216936,40000.0,22.9,268.1,7758.0,7700.0,42.0,False,21.0,685.0,689.0,0.0,2.0,False,1.0
23.83,2.626840145676667,68000.0,77.2,716.74,26617.0,25000.0,20.0,False,10.0,665.0,669.0,0.0,0.0,True,0.0
6.54,1.5151272329628591,55000.0,49.7,239.98,3728.0,12000.0,13.0,False,4.0,750.0,754.0,1.0,3.0,False,0.0
7.29,1.927164106234258,31000.0,10.8,99.7,7415.0,5000.0,19.0,False,8.0,770.0,774.0,1.0,0.0,True,0.0
12.12,1.3837912309017721,70000.0,12.2,415.9,1198.0,12500.0,18.0,False,3.0,725.0,729.0,0.0,0.0,False,0.0
7.9,2.4595888418037104,62000.0,39.4,219.04,6426.0,7000.0,14.0,False,9.0,710.0,714.0,1.0,0.0,False,0.0
8.39,3.2272407411998283,49500.0,49.6,283.65,18852.0,9000.0,14.0,False,11.0,705.0,709.0,0.0,0.0,False,0.0
15.59,2.8118094353930627,50000.0,66.9,209.73,4080.0,6000.0,16.0,False,10.0,670.0,674.0,1.0,0.0,False,0.0
16.99,3.2646137165420543,24500.0,89.1,330.64,4009.0,9275.0,9.0,False,4.0,690.0,694.0,2.0,1.0,False,0.0
19.52,2.0992441689760155,60000.0,43.7,73.84,10957.0,2000.0,21.0,True,8.0,675.0,679.0,4.0,3.0,False,0.0
8.18,2.6905648867611904,35000.0,58.2,188.52,6108.0,6000.0,18.0,False,7.0,670.0,674.0,1.0,0.0,False,0.0
20.99,2.1090003439213802,187400.0,63.1,658.62,16087.0,24350.0,35.0,False,19.0,665.0,669.0,3.0,2.0,True,1.0
12.29,2.599722324216582,38000.0,50.1,400.24,11514.0,12000.0,15.0,False,11.0,665.0,669.0,0.0,0.0,False,1.0
10.99,3.1463051320333655,55000.0,57.6,196.41,9504.0,6000.0,18.0,False,9.0,720.0,724.0,2.0,0.0,False,0.0
12.99,3.0111133755922936,61000.0,29.7,404.27,6022.0,12000.0,25.0,False,17.0,715.0,719.0,0.0,2.0,False,0.0
17.27,1.6752256529721035,71000.0,53.3,322.09,9011.0,9000.0,23.0,False,9.0,685.0,689.0,0.0,1.0,False,0.0
8.39,2.1552445050953364,100000.0,38.8,567.3,6215.0,18000.0,34.0,False,9.0,705.0,709.0,4.0,2.0,False,0.0
10.15,3.1112906141882632,53000.0,26.1,236.07,8795.0,7300.0,30.0,False,17.0,660.0,664.0,0.0,0.0,False,0.0
7.88,2.2438960966453663,35000.0,23.0,125.36,9506.0,6200.0,22.0,False,8.0,770.0,774.0,1.0,0.0,True,0.0
19.05,3.4569473967666475,37440.0,67.8,603.41,12341.0,16450.0,22.0,False,11.0,675.0,679.0,0.0,2.0,False,0.0
6.03,2.993730270883318,127206.0,38.8,456.54,22705.0,15000.0,19.0,False,9.0,770.0,774.0,3.0,0.0,False,0.0
10.99,2.453587966530573,130000.0,64.6,942.74,25504.0,28800.0,10.0,False,8.0,700.0,704.0,0.0,2.0,False,0.0
15.88,3.0740812399649675,35000.0,81.9,278.93,17357.0,11500.0,10.0,False,4.0,705.0,709.0,0.0,1.0,True,0.0
9.17,2.3045830956567186,50000.0,36.4,286.92,9870.0,9000.0,36.0,False,10.0,670.0,674.0,2.0,1.0,False,0.0
14.3,3.027715319407042,24000.0,15.4,41.19,2809.0,1200.0,7.0,False,6.0,710.0,714.0,0.0,0.0,False,0.0
14.99,2.546315277916644,165000.0,33.6,1213.12,7116.0,35000.0,48.0,False,17.0,685.0,689.0,4.0,1.0,False,1.0
7.62,2.9657883971809187,95000.0,10.2,779.04,25825.0,25000.0,57.0,False,23.0,750.0,754.0,3.0,0.0,False,0.0
